CustomerID,Age,Annual Income (k$),Spending Score (1-100),Gender,Annual_Spend,Visit_Frequency
1,19,35,37,Male,43900,1
2,41,39,54,Female,64631,12
3,45,33,29,Male,48885,15
4,21,41,27,Female,50946,12
5,27,30,57,Male,44848,11
6,30,59,24,Female,69542,5
7,48,38,55,Male,45720,14
8,29,39,89,Male,37901,17
9,30,52,81,Female,53944,9
10,19,38,84,Male,49937,15
11,52,61,75,Female,55987,11
12,52,38,90,Male,42492,10
13,31,37,100,Male,48621,6
14,53,55,47,Female,39645,12
15,29,37,39,Female,44591,8
16,24,50,58,Male,71901,11
17,40,21,31,Female,57954,11
18,57,62,88,Female,41990,14
19,57,79,38,Male,83557,11
20,22,32,82,Female,37863,8
21,23,48,90,Female,58853,13
22,40,50,35,Male,47861,14
23,50,49,44,Male,69737,15
24,55,15,60,Female,49358,16
25,25,38,18,Female,46457,8
26,46,89,66,Male,45173,5
27,47,15,15,Male,52163,10
28,44,54,64,Male,46336,12
29,51,52,58,Female,35315,14
30,35,65,61,Female,41545,9
31,40,54,43,Male,57487,13
32,28,59,5,Female,43781,9
33,37,60,55,Female,54645,10
34,41,54,58,Male,62939,8
35,40,32,48,Female,60867,9
36,29,67,32,Female,10827,11
37,51,36,66,Male,72571,3
38,20,70,41,Female,47998,13
39,56,31,69,Female,61960,16
40,47,49,94,Male,40965,23
41,39,41,66,Male,53042,13
42,18,21,53,Female,42480,15
43,55,56,53,Female,72050,7
44,22,65,52,Female,18488,10
45,29,30,82,Male,53658,12
46,45,40,62,Male,34767,14
47,52,89,44,Female,65924,4
48,36,40,90,Female,52117,4
49,48,51,100,Female,31618,14
50,19,58,14,Female,34940,13
51,49,38,70,Female,28052,13
52,47,53,29,Male,69950,5
53,18,82,16,Female,47805,18
54,33,46,53,Male,38055,13
55,39,82,57,Female,32870,11
56,42,80,16,Male,62476,15
57,53,54,40,Male,54925,17
58,28,85,81,Female,58832,13
59,50,41,49,Male,66463,4
60,41,27,75,Male,50004,7
61,30,42,94,Female,43136,5
62,18,81,16,Female,68123,11
63,36,86,69,Male,36879,8
64,44,60,33,Female,27330,19
65,26,61,100,Male,63845,2
66,28,24,6,Male,70383,13
67,18,67,58,Male,43643,17
68,42,73,82,Female,66387,9
69,18,72,100,Female,52199,12
70,36,17,78,Male,54089,14
71,32,47,54,Female,61484,12
72,26,49,39,Male,29069,18
73,28,48,58,Female,73759,6
74,37,56,51,Female,53395,15
75,21,70,57,Male,23702,10
76,32,68,7,Female,40188,14
77,18,52,12,Female,46621,10
78,32,25,74,Male,52211,10
79,40,26,39,Male,40253,8
80,53,67,32,Female,67260,14
81,57,53,79,Male,47653,10
82,57,81,68,Male,39485,11
83,39,61,78,Male,55601,7
84,41,97,20,Female,39733,13
85,18,82,56,Female,34708,9
86,26,39,93,Female,44972,8
87,41,57,58,Male,60829,1
88,45,63,100,Female,54629,3
89,30,46,32,Male,21385,14
90,46,71,20,Male,41479,10
91,43,39,49,Female,49645,5
92,31,79,57,Male,28729,17
93,41,33,48,Male,15044,15
94,34,16,1,Female,50946,11
95,18,45,42,Male,55814,15
96,33,53,58,Male,69317,6
97,41,54,15,Female,29975,13
98,33,44,34,Male,45237,12
99,47,16,35,Male,63861,17
100,45,105,26,Female,45895,12
101,18,22,51,Female,69690,22
102,26,15,29,Female,31445,4
103,26,43,46,Female,48664,8
104,32,48,41,Male,39272,13
105,67,47,38,Female,39724,12
106,43,34,32,Male,43017,10
107,25,96,100,Male,50137,19
108,50,48,50,Female,62007,6
109,44,15,59,Male,41121,5
110,28,37,60,Male,58242,14
111,28,19,57,Female,62233,14
112,34,62,22,Male,60623,14
113,31,15,55,Female,58028,6
114,31,29,50,Male,37290,7
115,31,45,44,Female,42338,18
116,41,15,24,Male,48793,8
117,55,55,49,Female,72702,7
118,26,66,47,Female,61693,14
119,38,84,71,Male,62722,10
120,41,15,6,Male,71340,14
121,45,29,61,Female,40338,2
122,50,32,22,Female,43642,23
123,41,40,30,Female,32592,15
124,18,55,77,Male,46184,13
125,54,59,34,Male,68660,10
126,35,50,89,Male,37283,11
127,23,58,58,Male,40869,10
128,30,64,32,Female,25749,3
129,40,29,69,Male,41337,13
130,45,15,2,Female,49381,9
131,18,72,69,Male,37977,13
132,38,95,45,Male,57033,8
133,36,73,51,Female,44116,13
134,36,18,22,Male,55341,10
135,30,58,48,Male,58333,15
136,27,31,84,Male,28785,7
137,28,41,71,Male,72081,19
138,18,56,39,Male,56899,14
139,18,53,36,Female,48234,16
140,23,75,73,Female,60950,12
141,39,80,18,Female,55548,7
142,60,59,29,Female,59334,13
143,57,72,1,Female,50405,3
144,18,54,87,Male,32002,6
145,19,40,79,Male,52049,13
146,18,51,70,Male,50805,9
147,35,50,71,Male,49929,9
148,57,42,69,Female,29167,18
149,39,72,47,Female,42712,16
150,44,48,18,Male,39807,7
151,39,55,68,Male,42892,15
152,32,59,87,Female,60064,20
153,26,56,68,Female,21261,8
154,51,80,73,Male,22068,12
155,22,63,52,Male,38332,7
156,32,54,58,Female,37991,10
157,61,58,56,Male,85831,12
158,26,59,81,Female,41419,15
